run_label,run_dir,classifier,selection,source_col,feature_set,model,threshold_name,n,positives,auroc,auprc,sensitivity,specificity,ppv,npv,accuracy,tp,fp,tn,fn
old_metadata_multitask_alpha025,angle_closure_screening,direct_probability,threshold_from_validation_youden,,,,youden_from_val,81,8,0.5599315068493151,0.1993490094496914,0.625,0.547945205479452,0.131578947368421,0.9302325581395348,0.5555555555555556,5,33,40,3
pure_image_classifier,angle_closure_image_only_cls,direct_probability,threshold_from_validation_youden,,,,youden_from_val,81,8,0.3167808219178083,0.0773076600471447,0.25,0.6301369863013698,0.0689655172413793,0.8846153846153846,0.5925925925925926,2,27,46,6
image_only_multitask_baseline,angle_closure_image_only_multitask,direct_probability,threshold_from_validation_youden,,,,youden_from_val,81,8,0.6626712328767124,0.1574822510085008,0.875,0.4520547945205479,0.1489361702127659,0.9705882352941176,0.4938271604938271,7,40,33,1
image_only_multitask_baseline,angle_closure_image_only_multitask,best_shallow_meta_risk_by_validation,candidate_and_threshold_selected_on_validation,,temporal_angle,logreg_balanced,youden_from_val,81,8,0.702054794520548,0.165860206528277,0.875,0.6301369863013698,0.2058823529411764,0.9787234042553192,0.654320987654321,7,27,46,1
image_only_multitask_baseline,angle_closure_image_only_multitask,best_shallow_meta_risk_test_diagnostic,diagnostic_only_sorted_by_test_not_for_final_selection,,angle_all,rf_depth2,spec80_from_val,81,8,0.7568493150684932,0.2097349369040545,0.875,0.6986301369863014,0.2413793103448276,0.9807692307692308,0.7160493827160493,7,22,51,1
van_temporal_multitask_quick,angle_closure_multitask_van_temporal_quick,direct_probability,threshold_from_validation_youden,,,,youden_from_val,63,6,0.6491228070175439,0.1742452354408876,1.0,0.4035087719298245,0.15,1.0,0.4603174603174603,6,34,23,0
van_temporal_multitask_quick,angle_closure_multitask_van_temporal_quick,best_single_predicted_biomarker,biomarker_threshold_from_validation_youden,pred_aod500_nasal_mm,,,youden_from_val,63,6,0.7997076023391814,0.4123015873015873,0.6666666666666666,0.7543859649122807,0.2222222222222222,0.9555555555555556,0.746031746031746,4,14,43,2
van_temporal_multitask_quick,angle_closure_multitask_van_temporal_quick,best_shallow_meta_risk_by_validation,candidate_and_threshold_selected_on_validation,,nasal_angle,logreg_balanced,youden_from_val,63,6,0.804093567251462,0.4230263157894737,0.5,0.7894736842105263,0.2,0.9375,0.7619047619047619,3,12,45,3
van_temporal_multitask_quick,angle_closure_multitask_van_temporal_quick,best_shallow_meta_risk_test_diagnostic,diagnostic_only_sorted_by_test_not_for_final_selection,,temporal_angle,rf_depth2,balanced_from_val,63,6,0.7865497076023392,0.3636173767752715,0.8333333333333334,0.7017543859649122,0.2272727272727272,0.975609756097561,0.7142857142857143,5,17,40,1
van_temporal_angle4_regstrong_failed,angle_closure_van_temporal_angle4_regstrong,direct_probability,threshold_from_validation_youden,,,,youden_from_val,63,6,0.5482456140350878,0.1214438339438339,0.5,0.5087719298245614,0.0967741935483871,0.90625,0.5079365079365079,3,28,29,3
